version,n_words,lambda,testing_documents,number_spam,number_ham,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,weighted_accuracy,baseline_weighted_accuracy,TCR
bare,50,1,2893,481,2412,2712,0.9374351883857587,427,2285,127,54,0.7707581227436823,0.8877338877338877,0.9374351883857587,0.8337366055997235,2.657458563535912
bare,50,9,2893,481,2412,2742,0.9478050466643623,413,2329,83,68,0.8326612903225806,0.8586278586278586,0.9632700887827301,0.9783225922754518,0.5901840490797546
bare,50,99,2893,481,2412,2736,0.9457310750086415,388,2348,64,93,0.8584070796460177,0.8066528066528067,0.973130660470015,0.9979897103260347,0.07481723440659512
bare,100,1,2893,481,2412,2757,0.9529899758036641,437,2320,92,44,0.8260869565217391,0.9085239085239085,0.9529899758036641,0.8337366055997235,3.536764705882353
bare,100,9,2893,481,2412,2769,0.9571379191151054,422,2347,65,59,0.86652977412731,0.8773388773388774,0.9709766100319979,0.9783225922754518,0.7468944099378882
bare,100,99,2893,481,2412,2769,0.9571379191151054,399,2370,42,82,0.9047619047619048,0.8295218295218295,0.9822793592149421,0.9979897103260347,0.1134433962264151
bare,500,1,2893,481,2412,2804,0.9692360871068095,458,2346,66,23,0.8740458015267175,0.9521829521829522,0.9692360871068095,0.8337366055997235,5.404494382022472
bare,500,9,2893,481,2412,2809,0.9709643968199101,448,2361,51,33,0.8977955911823647,0.9313929313929314,0.9778268511424579,0.9783225922754518,0.9776422764227642
bare,500,99,2893,481,2412,2816,0.973384030418251,443,2373,39,38,0.9190871369294605,0.920997920997921,0.9837045333912876,0.9979897103260347,0.12336496537573736
bare,1000,1,2893,481,2412,2828,0.9775319737296924,469,2359,53,12,0.8984674329501916,0.975051975051975,0.9775319737296924,0.8337366055997235,7.4
bare,1000,9,2893,481,2412,2833,0.9792602834427929,461,2372,40,20,0.9201596806387226,0.9584199584199584,0.9828743972238496,0.9783225922754518,1.2657894736842106
bare,1000,99,2893,481,2412,2836,0.9802972692706533,454,2382,30,27,0.9380165289256198,0.9438669438669439,0.987474348954524,0.9979897103260347,0.16049382716049382
bare,5000,1,2893,481,2412,2850,0.9851365364673349,473,2377,35,8,0.9311023622047244,0.9833679833679834,0.9851365364673349,0.8337366055997235,11.186046511627907
bare,5000,9,2893,481,2412,2854,0.9865191842378154,472,2382,30,9,0.9402390438247012,0.9812889812889813,0.9874262021722475,0.9783225922754518,1.7240143369175627
bare,5000,99,2893,481,2412,2855,0.9868648461804356,468,2387,25,13,0.949290060851927,0.972972972972973,0.9896016617280132,0.9979897103260347,0.19332797427652734
bare,all,1,2893,481,2412,2865,0.9903214656066367,475,2390,22,6,0.9557344064386318,0.9875259875259875,0.9903214656066367,0.8337366055997235,17.178571428571427
bare,all,9,2893,481,2412,2869,0.9917041133771172,475,2394,18,6,0.9634888438133874,0.9875259875259875,0.9924286808779125,0.9783225922754518,2.863095238095238
bare,all,99,2893,481,2412,2870,0.9920497753197373,473,2397,15,8,0.9692622950819673,0.9833679833679834,0.9937601611575256,0.9979897103260347,0.3221701272605492
stop,50,1,2893,481,2412,2743,0.9481507086069824,419,2324,88,62,0.8264299802761341,0.8711018711018711,0.9481507086069824,0.8337366055997235,3.2066666666666666
stop,50,9,2893,481,2412,2724,0.9415831316972001,365,2359,53,116,0.8732057416267942,0.7588357588357588,0.9732750461940601,0.9783225922754518,0.8111298482293423
stop,50,99,2893,481,2412,2709,0.9363982025578984,322,2387,25,159,0.9279538904899135,0.6694386694386695,0.988991469851924,0.9979897103260347,0.18261199696279423
stop,100,1,2893,481,2412,2795,0.9661251296232285,441,2354,58,40,0.8837675350701403,0.9168399168399168,0.9661251296232285,0.8337366055997235,4.908163265306122
stop,100,9,2893,481,2412,2795,0.9661251296232285,411,2384,28,70,0.9362186788154897,0.8544698544698545,0.9854883050159989,0.9783225922754518,1.4937888198757765
stop,100,99,2893,481,2412,2774,0.958866228828206,377,2397,15,104,0.9617346938775511,0.7837837837837838,0.9933589391020149,0.9979897103260347,0.302706104468219
stop,500,1,2893,481,2412,2834,0.979605945385413,457,2377,35,24,0.9288617886178862,0.9501039501039501,0.979605945385413,0.8337366055997235,8.152542372881356
stop,500,9,2893,481,2412,2838,0.9809885931558935,452,2386,26,29,0.9456066945606695,0.9397089397089398,0.9881472801838749,0.9783225922754518,1.8288973384030418
stop,500,99,2893,481,2412,2836,0.9802972692706533,442,2394,18,39,0.9608695652173913,0.918918918918919,0.9923893191345305,0.9979897103260347,0.2641405820977485
stop,1000,1,2893,481,2412,2848,0.9844452125820947,462,2386,26,19,0.9467213114754098,0.9604989604989606,0.9844452125820947,0.8337366055997235,10.688888888888888
stop,1000,9,2893,481,2412,2853,0.9861735222951953,456,2397,15,25,0.9681528662420382,0.9480249480249481,0.9927892198837261,0.9783225922754518,3.00625
stop,1000,99,2893,481,2412,2849,0.9847908745247148,450,2399,13,31,0.9719222462203023,0.9355509355509356,0.9944915555295504,0.9979897103260347,0.36494688922610014
stop,5000,1,2893,481,2412,2858,0.9879018320082958,468,2390,22,13,0.9551020408163265,0.972972972972973,0.9879018320082958,0.8337366055997235,13.742857142857142
stop,5000,9,2893,481,2412,2857,0.9875561700656758,464,2393,19,17,0.9606625258799172,0.9646569646569647,0.9915273333633783,0.9783225922754518,2.5585106382978724
stop,5000,99,2893,481,2412,2861,0.9889388178361562,463,2398,14,18,0.9706498951781971,0.9625779625779626,0.9941321274381554,0.9979897103260347,0.3425925925925926
stop,all,1,2893,481,2412,2870,0.9920497753197373,470,2400,12,11,0.975103734439834,0.9771309771309772,0.9920497753197373,0.8337366055997235,20.91304347826087
stop,all,9,2893,481,2412,2870,0.9920497753197373,469,2401,11,12,0.9770833333333333,0.975051975051975,0.994997521294335,0.9783225922754518,4.333333333333333
stop,all,99,2893,481,2412,2868,0.9913584514344971,466,2402,10,15,0.9789915966386554,0.9688149688149689,0.995799706606372,0.9979897103260347,0.4786069651741294
lemm,50,1,2893,481,2412,2733,0.9446940891807812,424,2309,103,57,0.8045540796963947,0.8814968814968815,0.9446940891807812,0.8337366055997235,3.00625
lemm,50,9,2893,481,2412,2749,0.9502246802627031,408,2341,71,73,0.8517745302713987,0.8482328482328483,0.9679120284825815,0.9783225922754518,0.675561797752809
lemm,50,99,2893,481,2412,2748,0.9498790183200829,377,2371,41,104,0.9019138755980861,0.7837837837837838,0.9826011727386331,0.9979897103260347,0.11554167667547442
lemm,100,1,2893,481,2412,2760,0.9540269616315243,436,2324,88,45,0.8320610687022901,0.9064449064449065,0.9540269616315243,0.8337366055997235,3.6165413533834587
lemm,100,9,2893,481,2412,2781,0.9612858624265468,421,2360,52,60,0.8900634249471459,0.8752598752598753,0.9762044256162964,0.9783225922754518,0.9109848484848485
lemm,100,99,2893,481,2412,2774,0.958866228828206,396,2378,34,85,0.9209302325581395,0.8232848232848233,0.9855769029836711,0.9979897103260347,0.13937988988698927
lemm,500,1,2893,481,2412,2807,0.9702730729346699,457,2350,62,24,0.8805394990366089,0.9501039501039501,0.9702730729346699,0.8337366055997235,5.593023255813954
lemm,500,9,2893,481,2412,2811,0.9716557207051504,450,2361,51,31,0.8982035928143712,0.9355509355509356,0.9779169858939114,0.9783225922754518,0.9816326530612245
lemm,500,99,2893,481,2412,2811,0.9716557207051504,438,2373,39,43,0.9182389937106918,0.9106029106029107,0.9836836364092297,0.9979897103260347,0.12320696721311475
lemm,1000,1,2893,481,2412,2826,0.9768406498444522,463,2363,49,18,0.904296875,0.9625779625779626,0.9768406498444522,0.8337366055997235,7.17910447761194
lemm,1000,9,2893,481,2412,2834,0.979605945385413,460,2374,38,21,0.9236947791164659,0.9563409563409564,0.9836405426112037,0.9783225922754518,1.325068870523416
lemm,1000,99,2893,481,2412,2838,0.9809885931558935,456,2382,30,25,0.9382716049382716,0.9480249480249481,0.9874827077473471,0.9979897103260347,0.16060100166944907
lemm,5000,1,2893,481,2412,2847,0.9840995506394746,468,2379,33,13,0.9341317365269461,0.972972972972973,0.9840995506394746,0.8337366055997235,10.456521739130435
lemm,5000,9,2893,481,2412,2852,0.9858278603525752,468,2384,28,13,0.9435483870967742,0.972972972972973,0.9880571454324215,0.9783225922754518,1.8150943396226416
lemm,5000,99,2893,481,2412,2852,0.9858278603525752,464,2388,24,17,0.9508196721311475,0.9646569646569647,0.9899987043871125,0.9979897103260347,0.2010029251984956
lemm,all,1,2893,481,2412,2864,0.9899758036640166,474,2390,22,7,0.9556451612903226,0.9854469854469855,0.9899758036640166,0.8337366055997235,16.586206896551722
lemm,all,9,2893,481,2412,2863,0.9896301417213965,468,2395,17,13,0.9649484536082474,0.972972972972973,0.992518815629366,0.9783225922754518,2.897590361445783
lemm,all,99,2893,481,2412,2863,0.9896301417213965,468,2395,17,13,0.9649484536082474,0.972972972972973,0.9929117436859769,0.9979897103260347,0.28360849056603776
lemm_stop,50,1,2893,481,2412,2750,0.9505703422053232,394,2356,56,87,0.8755555555555555,0.8191268191268192,0.9505703422053232,0.8337366055997235,3.3636363636363638
lemm_stop,50,9,2893,481,2412,2712,0.9374351883857587,334,2378,34,147,0.907608695652174,0.6943866943866944,0.9795844787957997,0.9783225922754518,1.0618101545253864
lemm_stop,50,99,2893,481,2412,2680,0.926374006221915,285,2395,17,196,0.9437086092715232,0.5925155925155925,0.9921469141426595,0.9979897103260347,0.25598722724853645
lemm_stop,100,1,2893,481,2412,2809,0.9709643968199101,440,2369,43,41,0.9109730848861284,0.9147609147609148,0.9709643968199101,0.8337366055997235,5.726190476190476
lemm_stop,100,9,2893,481,2412,2800,0.9678534393363291,409,2391,21,72,0.9511627906976744,0.8503118503118503,0.9882374149353284,0.9783225922754518,1.842911877394636
lemm_stop,100,99,2893,481,2412,2776,0.9595575527134462,376,2400,12,105,0.9690721649484536,0.7817047817047817,0.9945960404398396,0.9979897103260347,0.3720030935808198
lemm_stop,500,1,2893,481,2412,2835,0.9799516073280332,458,2377,35,23,0.9290060851926978,0.9521829521829522,0.9799516073280332,0.8337366055997235,8.293103448275861
lemm_stop,500,9,2893,481,2412,2839,0.9813342550985137,451,2388,24,30,0.9494736842105264,0.9376299376299376,0.988913425571229,0.9783225922754518,1.9552845528455285
lemm_stop,500,99,2893,481,2412,2842,0.982371240926374,443,2399,13,38,0.9714912280701754,0.920997920997921,0.9944622997546694,0.9979897103260347,0.3630188679245283
lemm_stop,1000,1,2893,481,2412,2844,0.9830625648116142,462,2382,30,19,0.9390243902439024,0.9604989604989606,0.9830625648116142,0.8337366055997235,9.816326530612244
lemm_stop,1000,9,2893,481,2412,2855,0.9868648461804356,459,2396,16,22,0.9663157894736842,0.9542619542619543,0.992518815629366,0.9783225922754518,2.897590361445783
lemm_stop,1000,99,2893,481,2412,2853,0.9861735222951953,452,2401,11,29,0.9762419006479481,0.9397089397089398,0.9953274348118645,0.9979897103260347,0.43023255813953487
lemm_stop,5000,1,2893,481,2412,2858,0.9879018320082958,466,2392,20,15,0.9588477366255144,0.9688149688149689,0.9879018320082958,0.8337366055997235,13.742857142857142
lemm_stop,5000,9,2893,481,2412,2862,0.9892844797787763,466,2396,16,15,0.966804979253112,0.9688149688149689,0.9928342872594529,0.9783225922754518,3.0251572327044025
lemm_stop,5000,99,2893,481,2412,2862,0.9892844797787763,464,2398,14,17,0.9707112970711297,0.9646569646569647,0.994136306834567,0.9979897103260347,0.3428367783321454
lemm_stop,all,1,2893,481,2412,2865,0.9903214656066367,466,2399,13,15,0.9728601252609603,0.9688149688149689,0.9903214656066367,0.8337366055997235,17.178571428571427
lemm_stop,all,9,2893,481,2412,2866,0.9906671275492568,466,2400,12,15,0.9748953974895398,0.9688149688149689,0.9944567127856145,0.9783225922754518,3.910569105691057
lemm_stop,all,99,2893,481,2412,2869,0.9917041133771172,465,2404,8,16,0.9830866807610994,0.9667359667359667,0.9966230476994512,0.9979897103260347,0.5952970297029703
